city,year,month,month_name,avg_aqi,median_aqi,min_aqi,max_aqi,days_with_data,dominant_pollutant,air_quality_status,,cityid
Muzaffarnagar,2023,1,January,249.9,260.5,137,367,30,PM2.5,Poor,,102
Muzaffarnagar,2023,2,February,211.8,196,90,391,28,PM2.5,Poor,,102
Muzaffarnagar,2023,3,March,174.6,158,58,278,24,PM2.5,Moderate,,102
Muzaffarnagar,2023,4,April,174,168.5,75,317,30,PM10,Moderate,,102
Muzaffarnagar,2023,5,May,167.2,150,48,369,29,PM10,Moderate,,102
Muzaffarnagar,2023,6,June,116,117,44,210,25,PM10,Moderate,,102
Muzaffarnagar,2023,7,July,73.4,62,35,171,16,PM10,Satisfactory,,102
Muzaffarnagar,2023,8,August,100,99,57,145,27,PM10,Satisfactory,,102
Muzaffarnagar,2023,9,September,105,106,33,202,21,PM2.5,Moderate,,102
Muzaffarnagar,2023,10,October,226.5,203,142,327,15,PM2.5,Poor,,102
Muzaffarnagar,2023,11,November,247.8,257,159,340,30,PM2.5,Poor,,102
Muzaffarnagar,2023,12,December,300.2,305,172,394,27,PM2.5,Very Poor,,102
Muzaffarnagar,2024,1,January,276.8,279,177,360,31,PM2.5,Poor,,102
Muzaffarnagar,2024,2,February,227.2,220.5,88,369,28,PM2.5,Poor,,102
Muzaffarnagar,2024,3,March,177.1,179,101,270,27,PM2.5,Moderate,,102
Muzaffarnagar,2024,4,April,174.8,164,112,254,30,PM10,Moderate,,102
Muzaffarnagar,2024,5,May,221.3,224,115,340,29,PM10,Poor,,102
Muzaffarnagar,2024,6,June,186.7,194,65,327,30,PM10,Moderate,,102
Muzaffarnagar,2024,7,July,104,97,48,181,28,PM2.5,Moderate,,102
Muzaffarnagar,2024,8,August,69.3,68,37,147,31,PM10,Satisfactory,,102
Muzaffarnagar,2024,9,September,90.6,69,29,265,26,PM2.5,Satisfactory,,102
Muzaffarnagar,2024,10,October,206.4,202.5,99,327,30,PM2.5,Poor,,102
Muzaffarnagar,2024,11,November,250.5,250.5,150,383,30,PM2.5,Poor,,102
Muzaffarnagar,2024,12,December,150.6,149,63,255,31,PM10,Moderate,,102
Muzaffarnagar,2025,1,January,149.2,142,66,251,30,PM2.5,Moderate,,102
Muzaffarnagar,2025,2,February,109.2,103.5,42,178,28,PM2.5,Moderate,,102
Muzaffarnagar,2025,3,March,120.5,114,49,256,30,PM2.5,Moderate,,102
Muzaffarnagar,2025,4,April,144.1,141.5,79,286,30,O3,Moderate,,102
Muzaffarnagar,2025,5,May,139.5,141,52,278,28,PM2.5,Moderate,,102
Muzaffarnagar,2025,6,June,104.7,90,47,213,26,PM10,Moderate,,102
Muzaffarnagar,2025,7,July,57.6,54,37,87,31,PM10,Satisfactory,,102
Muzaffarnagar,2025,8,August,64.2,63,36,111,31,PM2.5,Satisfactory,,102
Muzaffarnagar,2025,9,September,87.6,82,34,156,29,PM10,Satisfactory,,102
Muzaffarnagar,2025,10,October,180.4,187,52,313,29,PM2.5,Moderate,,102
Muzaffarnagar,2025,11,November,285.5,303,148,382,30,PM2.5,Poor,,102
Muzaffarnagar,2025,12,December,271.1,272,203,400,31,PM2.5,Poor,,102
